model,experiment_label,criterion,score_type,copy_idx,valid_frames
gpt-4.1-mini,predicted_only__test_dev__critdef,c3,weighted_partial,3,791
gpt-4.1-mini,predicted_only__test_dev__critdef__fsv3__fs4,c1,direct,0,791
gpt-4.1-mini,predicted_only__test_dev__critdef__fsv3__fs4,c1,direct,1,791
gpt-4.1-mini,predicted_only__test_dev__critdef__fsv3__fs4,c1,direct,2,791
gpt-4.1-mini,predicted_only__test_dev__critdef__fsv3__fs4,c1,last2_product,0,791
gpt-4.1-mini,predicted_only__test_dev__critdef__fsv3__fs4,c1,last2_product,1,791
gpt-4.1-mini,predicted_only__test_dev__critdef__fsv3__fs4,c1,last2_product,2,791
gpt-4.1-mini,predicted_only__test_dev__critdef__fsv3__fs4,c1,unweighted,0,791
gpt-4.1-mini,predicted_only__test_dev__critdef__fsv3__fs4,c1,unweighted,1,791
gpt-4.1-mini,predicted_only__test_dev__critdef__fsv3__fs4,c1,unweighted,2,791
gpt-4.1-mini,predicted_only__test_dev__critdef__fsv3__fs4,c1,weighted,0,791
gpt-4.1-mini,predicted_only__test_dev__critdef__fsv3__fs4,c1,weighted,1,791
gpt-4.1-mini,predicted_only__test_dev__critdef__fsv3__fs4,c1,weighted,2,791
gpt-4.1-mini,predicted_only__test_dev__critdef__fsv3__fs4,c1,weighted_partial,0,791
gpt-4.1-mini,predicted_only__test_dev__critdef__fsv3__fs4,c1,weighted_partial,1,791
gpt-4.1-mini,predicted_only__test_dev__critdef__fsv3__fs4,c1,weighted_partial,2,791
gpt-4.1-mini,predicted_only__test_dev__critdef__fsv3__fs4,c2,direct,0,791
gpt-4.1-mini,predicted_only__test_dev__critdef__fsv3__fs4,c2,direct,1,791
gpt-4.1-mini,predicted_only__test_dev__critdef__fsv3__fs4,c2,direct,2,791
gpt-4.1-mini,predicted_only__test_dev__critdef__fsv3__fs4,c2,last2_product,0,791
gpt-4.1-mini,predicted_only__test_dev__critdef__fsv3__fs4,c2,last2_product,1,791
gpt-4.1-mini,predicted_only__test_dev__critdef__fsv3__fs4,c2,last2_product,2,791
gpt-4.1-mini,predicted_only__test_dev__critdef__fsv3__fs4,c2,unweighted,0,791
gpt-4.1-mini,predicted_only__test_dev__critdef__fsv3__fs4,c2,unweighted,1,791
gpt-4.1-mini,predicted_only__test_dev__critdef__fsv3__fs4,c2,unweighted,2,791
gpt-4.1-mini,predicted_only__test_dev__critdef__fsv3__fs4,c2,weighted,0,791
gpt-4.1-mini,predicted_only__test_dev__critdef__fsv3__fs4,c2,weighted,1,791
gpt-4.1-mini,predicted_only__test_dev__critdef__fsv3__fs4,c2,weighted,2,791
gpt-4.1-mini,predicted_only__test_dev__critdef__fsv3__fs4,c2,weighted_partial,0,791
gpt-4.1-mini,predicted_only__test_dev__critdef__fsv3__fs4,c2,weighted_partial,1,791
gpt-4.1-mini,predicted_only__test_dev__critdef__fsv3__fs4,c2,weighted_partial,2,791
gpt-4.1-mini,predicted_only__test_dev__critdef__fsv3__fs4,c3,direct,0,791
gpt-4.1-mini,predicted_only__test_dev__critdef__fsv3__fs4,c3,direct,1,791
gpt-4.1-mini,predicted_only__test_dev__critdef__fsv3__fs4,c3,direct,2,791
gpt-4.1-mini,predicted_only__test_dev__critdef__fsv3__fs4,c3,last2_product,0,791
gpt-4.1-mini,predicted_only__test_dev__critdef__fsv3__fs4,c3,last2_product,1,791
gpt-4.1-mini,predicted_only__test_dev__critdef__fsv3__fs4,c3,last2_product,2,791
gpt-4.1-mini,predicted_only__test_dev__critdef__fsv3__fs4,c3,unweighted,0,791
gpt-4.1-mini,predicted_only__test_dev__critdef__fsv3__fs4,c3,unweighted,1,791
gpt-4.1-mini,predicted_only__test_dev__critdef__fsv3__fs4,c3,unweighted,2,791
gpt-4.1-mini,predicted_only__test_dev__critdef__fsv3__fs4,c3,weighted,0,791
gpt-4.1-mini,predicted_only__test_dev__critdef__fsv3__fs4,c3,weighted,1,791
gpt-4.1-mini,predicted_only__test_dev__critdef__fsv3__fs4,c3,weighted,2,791
gpt-4.1-mini,predicted_only__test_dev__critdef__fsv3__fs4,c3,weighted_partial,0,791
gpt-4.1-mini,predicted_only__test_dev__critdef__fsv3__fs4,c3,weighted_partial,1,791
gpt-4.1-mini,predicted_only__test_dev__critdef__fsv3__fs4,c3,weighted_partial,2,791
gpt-4.1-mini,self_rubric__test_dev__critdef__rat1__s1short,c1,direct,0,791
gpt-4.1-mini,self_rubric__test_dev__critdef__rat1__s1short,c1,direct,1,791
gpt-4.1-mini,self_rubric__test_dev__critdef__rat1__s1short,c1,direct,2,791
gpt-4.1-mini,self_rubric__test_dev__critdef__rat1__s1short,c2,direct,0,791
gpt-4.1-mini,self_rubric__test_dev__critdef__rat1__s1short,c2,direct,1,791
gpt-4.1-mini,self_rubric__test_dev__critdef__rat1__s1short,c2,direct,2,791
gpt-4.1-mini,self_rubric__test_dev__critdef__rat1__s1short,c3,direct,0,791
gpt-4.1-mini,self_rubric__test_dev__critdef__rat1__s1short,c3,direct,1,791
gpt-4.1-mini,self_rubric__test_dev__critdef__rat1__s1short,c3,direct,2,791
gpt-4.1-mini,self_rubric__test_dev__critdef__rat1__s1short__fsv3__fs4,c1,direct,0,791
gpt-4.1-mini,self_rubric__test_dev__critdef__rat1__s1short__fsv3__fs4,c1,direct,1,791
gpt-4.1-mini,self_rubric__test_dev__critdef__rat1__s1short__fsv3__fs4,c1,direct,2,791
gpt-4.1-mini,self_rubric__test_dev__critdef__rat1__s1short__fsv3__fs4,c2,direct,0,791
gpt-4.1-mini,self_rubric__test_dev__critdef__rat1__s1short__fsv3__fs4,c2,direct,1,791
gpt-4.1-mini,self_rubric__test_dev__critdef__rat1__s1short__fsv3__fs4,c2,direct,2,791
gpt-4.1-mini,self_rubric__test_dev__critdef__rat1__s1short__fsv3__fs4,c3,direct,0,791
gpt-4.1-mini,self_rubric__test_dev__critdef__rat1__s1short__fsv3__fs4,c3,direct,1,791
gpt-4.1-mini,self_rubric__test_dev__critdef__rat1__s1short__fsv3__fs4,c3,direct,2,791
